system:index,Group 0,Group 1,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,abbreviati,areaHa,country_co,country_na,cover_2000,loss,wld_rgn,.geo
00004c7d3a0cf374ed9c,6.945948997968658E11,1.272781464692892E10,1.2540537037751717E10,9.340902670557354E9,1.5280546106842892E10,9.199654460163235E9,1.287879596291961E10,1.232253537033995E10,3.2491561106482113E10,2.2492931963143383E10,1.3624791681759068E10,2.0739998790759804E10,1.9748106406767647E10,2.458412455601789E10,2.0137712988562744E10,1.491906881283701E10,1.246985568476593E10,1.1211272503210785E10,7.693337379925489E9,Braz.,8.503008802004025E8,BR,Brazil,4.8558714471372586E8,1007630.619607843,South America,"{""type"":""Point"",""coordinates"":[-53.206964699392906,-10.625299990092252]}"
0000a01d5cf3b1af9638,,,,,,,,,,,,,,,,,,,,St. Hel.,41060.528599073055,SH,St Helena,0.0,0.0,S Atlantic,"{""type"":""Point"",""coordinates"":[-10.301628103042786,-23.843864650443482]}"
00000e14d12fd90415c8,0.0,,,,,,,,,,,,,,,,,,,C. Ver.,407745.0215344963,CV,Cabo Verde,5918.666666666668,0.0,Africa,"{""type"":""Point"",""coordinates"":[-23.971268298035337,15.945831601757769]}"
0000106f6b355e184fdb,,,,,,,,,,,,,,,,,,,,Port.,237374.06707631703,PO,Portugal (Azores),0.0,0.0,Europe,"{""type"":""Point"",""coordinates"":[-27.231968031777537,38.34402003807165]}"
00001fb0344a7bbdbec4,0.0,,,,,,,,,,,,,,,,,,,W. Sah.,2.696886326933293E7,WI,Western Sahara,0.0,0.0,Africa,"{""type"":""Point"",""coordinates"":[-13.180500495878853,24.64167339037222]}"
00004c99f6aa5f84aac8,1906446.8125,,,,,,,,,,,,,,,,,,,Maur.,1.040193984205804E8,MR,Mauritania,1562.0627450980385,2.0,Africa,"{""type"":""Point"",""coordinates"":[-10.357170174296886,20.22328918814979]}"
000085cf58d378ca371f,1.1288493825004902E9,5011618.25,1625302.0625,3299455.1875,6556110.0,7412430.125,3.1292050875E7,3.45954955625E7,7.00370868125E7,4.668788977254902E7,5.10028765E7,7473006.0625,835159.5625,4931882.5625,4058854.375,4095846.75,2444942.4375,4090509.0625,,Mor.,4.1425763175140664E7,MO,Morocco,641406.462745098,1720.305882352941,Africa,"{""type"":""Point"",""coordinates"":[-6.356929481190934,31.82454821638204]}"
0000cb66718427656016,1.05222245E7,,,,,,876151.3125,,,,,,876805.9375,,,,,,,Sp.,741345.0658168849,SP,Spain (Canary Is),69592.97254901953,14.0,Africa,"{""type"":""Point"",""coordinates"":[-15.685383761177656,28.34230422812248]}"
0000d8767cbbb44781f4,8194553.968872549,,,,,,,,,,,,,,,,,,,Port.,79236.98007265528,PO,Portugal (Madeira Is),13735.843137254904,9.780392156862746,Africa,"{""type"":""Point"",""coordinates"":[-16.958839426431254,32.760777743669536]}"
000061dcd471ca95783f,1.7288458382598774E10,5.477307529215686E7,1.122279838125E8,5.8491954625E7,3.038572561105392E8,2.5362345456323528E8,2.4037755751911765E8,1.9703973255612746E8,7.159942416443628E8,2.673289598141422E9,6.598644315602942E8,6.827656804828432E7,8.06687293125E7,1.2395791749411765E8,1.0697470817916667E8,1.4618455678284314E8,8.970095365E7,5.45475638125E7,8.85198793125E7,Port.,8871422.214995148,PO,Portugal,2216889.082352946,30514.63137254904,Europe,"{""type"":""Point"",""coordinates"":[-7.972070540756956,39.66102742855362]}"
